"Timestamp","sessionID","playerDead","currLevel","playerX","playerY","build"
"2024/10/29 2:17:30 PM PDT","638658081155480000","Player1","Level1","-18.30115","14.50999","1"
"2024/10/29 2:17:41 PM PDT","638658081155480000","Player1","Level1","-16.90401","14.57225","1"
"2024/10/29 2:18:08 PM PDT","638658081155480000","Player2","Level1","-2.864862","-14.554","1"
"2024/10/29 2:18:13 PM PDT","638658081155480000","Player1","Level1","-18.29804","14.50999","1"
"2024/10/29 2:18:22 PM PDT","638658081155480000","Player2","Level1","-2.782811","-11.94201","1"
"2024/10/29 2:18:37 PM PDT","638658081155480000","Player1","Level1","-1.294087","-10.50997","1"
"2024/10/29 2:19:24 PM PDT","638658081155480000","Player1","Level1","29.05924","19.382","1"
"2024/10/29 2:20:09 PM PDT","638658081155480000","Player2","Level2","-20.19276","-1.167521","1"
"2024/10/29 2:20:12 PM PDT","638658081155480000","Player2","Level2","-26.67625","-18.714","1"
"2024/10/29 2:20:12 PM PDT","638658081155480000","Player1","Level2","-26.29262","0.4899754","1"
"2024/10/29 2:20:17 PM PDT","638658081155480000","Player1","Level2","-11.49036","18.722","1"
"2024/10/29 2:20:26 PM PDT","638658081155480000","Player1","Level2","-11.49001","18.722","1"
"2024/10/29 2:20:28 PM PDT","638658081155480000","Player2","Level2","-28.27185","-18.714","1"
"2024/10/29 2:20:29 PM PDT","638658081155480000","Player1","Level2","-26.29078","0.4899754","1"
"2024/10/29 2:20:30 PM PDT","638658081155480000","Player2","Level2","-26.45999","-0.4899921","1"
"2024/10/29 2:20:32 PM PDT","638658081155480000","Player2","Level2","-26.29999","-0.489992","1"
"2024/10/29 2:20:35 PM PDT","638658081155480000","Player1","Level2","-26.36577","0.4899798","1"
"2024/10/29 2:20:36 PM PDT","638658081155480000","Player1","Level2","-26.29999","0.4899802","1"
"2024/10/29 2:20:40 PM PDT","638658081155480000","Player1","Level2","-11.49001","18.60599","1"
"2024/10/29 2:20:41 PM PDT","638658081155480000","Player1","Level2","-26.29262","0.4899754","1"
"2024/10/29 2:20:45 PM PDT","638658081155480000","Player1","Level2","-11.49","18.722","1"
"2024/10/29 2:20:48 PM PDT","638658081155480000","Player2","Level2","-30.5","-18.854","1"
"2024/10/29 2:20:48 PM PDT","638658081155480000","Player1","Level2","-25.98312","0.7860012","1"
